MediaKey,AssetID,Exists
originals/SIMPLESAHUR 4k Masters/FINAL 4K/1.BANANA TOAST.mov,ee675d38-f067-4aea-acd7-a82217168a11,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/1O.GRILLED CHICKEN SANDWICH.mov,dda4e87e-607c-4608-b24a-bd57a8890f76,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/2.SMOKED SALMON AVOCADO .mov,62c68476-e059-40ba-be18-ba9dcb64ee5e,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/3.CHICKEN POKE BOWL.mov,fff991d6-076f-4a37-86e1-80803257fa26,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/4.DIJON CHICKEN SALAD.mov,7ab0e979-d5df-42d6-9b7f-05aa2221e32b,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/5.GRANOLA AND YOGHURT.mov,d6a1655c-07de-4185-a462-9397592d07e3,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/6.OVERNIGHT OATS.mov,a0d071dd-5d04-4741-b250-19dfdc243081,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/8.SMOOTHIE BOWL.mov,37cd8416-51da-4b50-bfd7-3028801cfcd4,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/9.EGG MUFFINS WITH BROCOLLI.mov,3908f52f-b2b9-4682-b6ec-ed89879561a7,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/11.GRILLED CHEESE AND TURKEY HAM.mov,059375c0-646e-4329-bf73-d009189f845b,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/12.EGG IN BASKET + DATE MILK.mov,74a28031-4f85-4ed0-a538-25577304197b,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/13.ASPARAGUS NICOISE SALAD.mov,2e692d94-a346-4092-8e13-d3f6f8ddf568,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/23.BURRITO.mov,8f703574-0c88-48a6-b070-762278a5e214,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/24.SALMON AVOCADO SALAD.mov,bf2a33e7-8e0d-4251-86db-87ee13fa687f,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/25.HOMEMADE HUMMUS WITH PITA BREAD.mov,7408c1ae-40fe-4627-aa2b-2b5fa9605f84,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/26.SHAKS HUKA.mov,25cb35ec-2410-427a-9ccf-ff6008bb01c3,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/22.GRILLED CHICKEN WRAP.mov,c357b451-b58b-4529-bdd6-cd8814544b5c,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/21.GRILLED BASIL CHICKEN AND TOMATOES.mov,e1245b47-f7ba-4d7c-8b49-42171659f0c7,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/20.AIR FRIED SARDINE ROLLS.mov,40eeac86-5e41-4f52-b1d6-133e4a193f22,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/19.BERRIES PANCAKE AND YOGHURT.mov,064553aa-8b9d-4f7e-9a10-733b9768fdff,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/18.POACHED EGG AND TOAST.mov,be740b9e-150b-412d-82fb-fdc668e841ca,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/17.SPINACH AND FETA OMELETTE.mov,a3fffb2b-538d-4859-9490-bad9f0d2b130,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/16.SCRAMBLED EGGS WITH GREEK YOGHURT.mov,881e4761-e042-4d9c-b9f6-c1154f45acfb,true
originals/SIMPLESAHUR 4k Masters/FINAL 4K/7.STUFFED AVOCADO WITH CHICKEN _4K.mov,1bed3b41-17f0-4fc6-a916-afc5c52fe347,true
originals/Tadaruz 1-20/JUZ 20/MASTER/Juz 20 - Tadaruz Al Quran [MASTER].mov,1bdd5388-219b-4e29-883c-77dc5f299a0e,true
originals/Tadaruz 1-20/JUZ 20/PREVIEW/Juz 20 - Tadaruz Al Quran [V2 PREVIEW].mov,39a4b3dd-7c3f-4f78-909c-d8d2c47c91e4,true
originals/Tadaruz 1-20/JUZ 20/PREVIEW/Juz-20-subtitle-_srt_english [PREVIEW].vtt,3048df0c-0958-4ced-880f-2f9cc358c855,true
originals/Tadaruz 1-20/JUZ 20/PREVIEW/Juz 20 - TADARUZ AL QURAN [PREVIEW].mov,7876165d-5dd1-42aa-8087-58633cd44eca,true
originals/Tadaruz 1-20/JUZ 19/MASTER/TADARUZ AL QURAN JUZ 19 [MASTER].mov,74ef3e47-38d8-488c-a9a7-9b8eb72dd1e2,true
originals/Tadaruz 1-20/JUZ 19/SUBS/juz-19_english.vtt,cf27c444-2bb5-4bb4-9b8a-a337d5e128b7,true
originals/Tadaruz 1-20/JUZ 19/PREVIEW/TADARUZ AL QURAN JUZ 19 V2.mp4,bb57cd87-4061-4765-ab12-f6c6466d17b5,true
originals/Tadaruz 1-20/JUZ 19/PREVIEW/TADARUZ AL QURAN JUZ 19 V1.mov,a92f8cbb-e39b-46c8-a3db-2d4baf23d8c0,true
originals/Tadaruz 1-20/JUZ 18/MASTER/JUZ 18 - TADARUZ AL QURAN [MASTER].mov,1266c91e-26e3-4e11-99ac-f9e935c5a8f6,true
originals/Tadaruz 1-20/JUZ 18/PREVIEW/JUZ 18 TADARUZ AL QURAN [V2 PREVIEW].mov,806dec05-e7ee-42ba-a18c-6a1464d95748,true
originals/Tadaruz 1-20/JUZ 18/PREVIEW/juz-18-subtitle-preview-_srt_english.vtt,3127bf29-997e-4743-8b08-7f0d4396d326,true
originals/Tadaruz 1-20/JUZ 18/PREVIEW/JUZ 18 - TADARUZ AL QURAN [PREVIEW].mov,0305d610-8502-48ff-bb9a-8da0cc1ad09e,true
originals/Tadaruz 1-20/JUZ 16/MASTER/TADARUZ AL QURAN JUZ 16 [MASTER].mov,41a6e36e-1e9d-4f1e-ad6a-18fa745bc8e6,true
originals/Tadaruz 1-20/JUZ 16/PREVIEW/Subs/juz-16_english.vtt,ecfa3500-fdb3-4b9e-ba2a-22a9fba2b234,true
originals/Tadaruz 1-20/JUZ 16/PREVIEW/TADARUZ AL QURAN JUZ 16 [PREVIEW].mp4,b7ef24ca-adaa-4ffe-ac57-ff067a47e194,true
originals/Tadaruz 1-20/JUZ 15/MASTER/TADARUZ AL-QURAN - JUZ 15 MASTER.mov,aa9d0a97-c204-4154-85e8-fa2549507f80,true
originals/Tadaruz 1-20/JUZ 15/MASTER/tadaruz-al-quran-juz-15_srt_english v2.vtt,0959af31-fda8-4873-963a-11dd5ff42e0e,true
originals/Tadaruz 1-20/JUZ 15/PREVIEW/TADARUZ AL-QURAN - JUZ 15 PREVIEW V2.mov,f7360c7e-1158-4b42-a2c0-1c12bf00ac54,true
originals/Tadaruz 1-20/JUZ 15/PREVIEW/tadaruz-al-quran-juz-15_srt_english.vtt,be62c946-93f5-4330-85c0-b45139d3a889,true
originals/Tadaruz 1-20/JUZ 15/PREVIEW/TADARUZ AL-QURAN - JUZ 15 PREVIEW.mov,c932ebc9-6015-4630-bbde-4f9e6fb11f9e,true
originals/Tadaruz 1-20/JUZ 17/MASTER/juz-17-subtitle_srt_english v2.vtt,f3cdb68e-f831-4dfe-887a-11b0e1816a30,true
originals/Tadaruz 1-20/JUZ 17/MASTER/JUZ 17 - TADARUZ AL QURAN [ MASTER].mov,905046a6-9541-441e-b93a-7ae7c250df0f,true
originals/Tadaruz 1-20/JUZ 17/PREVIEW/Juz 17 - Tadaruz Al Quran [V2].mov,dc2aa694-9792-49b4-ae90-63718f4ac05e,true
originals/Tadaruz 1-20/JUZ 17/PREVIEW/juz-17-subtitle_srt_english.vtt,5a3dd2e8-81a8-4216-af0c-a39e44bbe286,true
originals/Tadaruz 1-20/JUZ 17/PREVIEW/JUZ 17 - Tadaruz AL Quran [PREVIEW] .mov,b09f0e1c-d092-47fd-a925-bbcd9a988bbd,true
originals/Tadaruz 1-20/JUZ 14/MASTER/juz-14-subtitle-preview-_srt_english.vtt,864e1fcc-0104-424e-8717-242df2c8eed9,true
originals/Tadaruz 1-20/JUZ 14/MASTER/Juz 14 - Tadaruz AL Quran [MASTER].mov,556128c8-48b5-48b3-8fd6-735f6dde17fa,true
originals/Tadaruz 1-20/JUZ 14/PREVIEW/Juz 14 - Tadaruz Al Quran [V2].mov,2003b12e-bac7-45d9-9b0e-5430dc754092,true
originals/Tadaruz 1-20/JUZ 14/PREVIEW/JUZ 14 - TADARUZ AL QURAN [PREVIEW].mov,cdc99227-9957-46d2-b7f7-d67f6a4d7bce,true
originals/Tadaruz 1-20/JUZ 13/MASTER/TADARUZ AL QURAN JUZ 13 [MASTER].mov,7caab6c4-e486-44ad-92e6-ccdf83770085,true
originals/Tadaruz 1-20/JUZ 13/PREVIEW/juz-13-v2_english.vtt,81b9f5c3-34e2-4513-8e7c-bb8f72afecb9,true
originals/Tadaruz 1-20/JUZ 13/PREVIEW/TADARUZ AL QURAN JUZ 13 V2.mov,78520007-6a3b-401d-a6df-7a97efe2f466,true
originals/Tadaruz 1-20/JUZ 13/PREVIEW/TADARUZ AL QURAN JUZ 13 PREVIEW.mov,c135beb9-e87a-4005-b54c-048d38fca9d6,true
originals/Tadaruz 1-20/JUZ 13/PREVIEW/Juz-13_english.vtt,89e3fe8b-823c-4d48-b4c9-7e7abb671a47,true
originals/Tadaruz 1-20/JUZ 11/MASTER/juz-11-subtitle-v2-_srt_english.vtt,e133fc18-0b46-4975-8432-7dd605d5b1c7,true
originals/Tadaruz 1-20/JUZ 11/MASTER/JUZ 11 - TADARUZ AL QURAN [MASTER].mov,3d24c0cf-a26b-4349-8bd2-7a5d97db7900,true
originals/Tadaruz 1-20/JUZ 11/PREVIEW/Juz 11 - Tadaruz Al Quran [V2 PREVIEW].mov,b6ca60d9-b36b-4f15-843c-61d36a80682b,true
originals/Tadaruz 1-20/JUZ 11/PREVIEW/juz-11_srt_english.vtt,5993a594-30a4-4163-954c-7b18d32d1839,true
originals/Tadaruz 1-20/JUZ 11/PREVIEW/Juz 11- Tadaruz Al Quran [PREVIEW].mov,0f052d5e-12f5-461f-a4e4-e607ea88dfec,true
originals/Tadaruz 1-20/JUZ 12/MASTER/TADARUZ AL-QURAN - JUZ 12 V2.mov,c431b85e-8389-4564-ba50-8b9ea4d5eeca,true
originals/Tadaruz 1-20/JUZ 12/MASTER/tadaruz-al-quran-juz-12-v2_srt_english.vtt,69a65e47-f060-4c4d-ab90-37371ecc856d,true
originals/Tadaruz 1-20/JUZ 12/MASTER/TADARUZ AL-QURAN - JUZ 12.mov,8e13b97c-bdeb-4e08-9039-6ba4cb18a079,true
originals/Tadaruz 1-20/JUZ 12/PREVIEWS/TADARUZ AL-QURAN - JUZ 12 V2.mov,d775b8c2-ed05-48a7-b8b2-daf33886d0fc,true
originals/Tadaruz 1-20/JUZ 12/PREVIEWS/tadaruz-al-quran-juz-12_srt_english.vtt,1e856215-a015-4a4f-927a-5fec9d834c6a,true
originals/Tadaruz 1-20/JUZ 12/PREVIEWS/TADARUZ AL-QURAN - JUZ 12 (PREVIEW).mov,2742ae0d-e034-46c2-bc1b-1549b4d971e3,true
originals/Tadaruz 1-20/JUZ 10/MASTER/tadaruz-al-quran-juz-10-master-_english.vtt,130e5ca7-ba87-493d-84d0-0a72ad1dbb88,true
originals/Tadaruz 1-20/JUZ 10/MASTER/TADARUZ AL QURAN - JUZ 10 [MASTER].mov,b49d8903-c346-4ad6-a8a0-3146834386e2,true
originals/Tadaruz 1-20/JUZ 10/SUBS/juz-10_english.vtt,16c69c15-1b86-4096-96d0-51ad9e173c67,true
originals/Tadaruz 1-20/JUZ 10/PREVIEW/TADARUZ AL QURAN JUZ 10.mov,1d17643f-9356-4911-a046-71bf25a20ce1,true
originals/Tadaruz 1-20/JUZ 9/Master/JUZ 9-subtitle-V3-_srt_english.vtt,4109b1c5-4945-4823-ba5b-385772ba3cb4,true
originals/Tadaruz 1-20/JUZ 9/Master/Juz 9 - Tadaruz Al Quran [MASTER].mov,db98a3df-9850-4a41-8008-11fa31c56f74,true
originals/Tadaruz 1-20/JUZ 9/Preview/juz-9-subtitle-V2-_srt_english.vtt,1cf219ef-253f-4b3a-b2db-a932858829db,true
originals/Tadaruz 1-20/JUZ 9/Preview/JUZ 9 - TADARUZ AL QURAN [V2].mov,f1de3993-f7aa-44f9-91d6-0fb45c753310,true
originals/Tadaruz 1-20/JUZ 9/Preview/juz-9-subtitle_srt_english[PREVIEW].vtt,673c4966-3837-4e36-bae3-c69ac2784a62,true
originals/Tadaruz 1-20/JUZ 9/Preview/JUZ 9 - TADARUZ AL QURAN [PREVIEW].mov,bb4d4909-59b1-4f8c-80db-6cb2d5fcd953,true
originals/Tadaruz 1-20/JUZ 8/MASTER/juz-8-subtitle-v3-_srt_english.vtt,8723830b-4ef3-47d5-a0d8-cf5b2f6243a8,true
originals/Tadaruz 1-20/JUZ 8/MASTER/JUZ 8 - TADARUZ AL QURAN [MASTER].mov,5b537a34-05a5-4319-ba55-d9845e209551,true
originals/Tadaruz 1-20/JUZ 8/PREVIEW/Preview V1/JUZ 8 SUBTITLE_SRT_English [PREVIEW].srt,d0409635-15fb-44cc-adb1-c65e51c508b1,true
originals/Tadaruz 1-20/JUZ 8/PREVIEW/Preview V1/Juz 8 - Tadaruz Al Quran [PREVIEW].mov,8704f834-7a49-48b5-b999-aeaf44a43b7a,true
originals/Tadaruz 1-20/JUZ 8/PREVIEW/Preview V2/juz-8-subtitle-v2-_srt_english.vtt,d2eb8bc5-5864-4c75-880d-f8c6d1375bf6,true
originals/Tadaruz 1-20/JUZ 8/PREVIEW/Preview V2/Juz 8 - Tadaruz Al Quran [PREVIEW V2].mov,27cdba61-f256-4fc6-b24c-b9a6f1f75df5,true
originals/Tadaruz 1-20/Juz 7/MASTER/TADRUZ AL QURAN JUZ 7 [MASTER].mov,e2520d92-f184-4423-a759-9f0299b145f6,true
originals/Tadaruz 1-20/Juz 7/MASTER/juz-7-v3_english.vtt,05daeed5-b21e-4128-92ff-65c166db8397,true
originals/Tadaruz 1-20/Juz 7/Preview/V2/JUZ 7 - V2.mp4,70e2788d-db78-46c6-8996-44aa0eb2e498,true
originals/Tadaruz 1-20/Juz 7/Preview/V2/juz-7-v2_english.vtt,1fe789bd-56a8-4e06-ae59-70778e55c95c,true
originals/Tadaruz 1-20/Juz 7/Preview/V1/TADARUZ AL QURAN JUZ-7 V1.mp4,7b8cd70c-16d7-4a15-ade8-ee7bde630506,true
originals/Tadaruz 1-20/Juz 7/Preview/V1/ju7_srt_english.vtt,0a19c94d-8c94-4b43-a25f-0ac7986f3a2c,true
originals/Tadaruz 1-20/Juz 6/MASTER/TADARUZ AL-QURAN - JUZ 6 MASTER.mov,6580e8be-35c2-4d55-a1e9-09106053f096,true
originals/Tadaruz 1-20/Juz 6/tadaruz-al-quran-juz-6-v2_srt_english.vtt,f10fb44e-3530-46e0-b80d-1196e7ec4e12,true
originals/Tadaruz 1-20/Juz 6/TADARUZ AL-QURAN - JUZ 6 V2.mov,b4062cc9-37b3-45bc-9b74-e2244b3faf27,true
originals/Tadaruz 1-20/Juz 6/tadaruz-al-quran-juz-6_srt_english.vtt,5d09959e-6220-4557-8af9-2ed6c91134be,true
originals/Tadaruz 1-20/Juz 6/TADARUZ AL-QURAN - JUZ 6.(PREVIEW)mov.mov,40bab4eb-72c8-4112-b04d-c3104b422524,true
originals/Tadaruz 1-20/Juz 4/PREVIEW/Tadaruz Al Quran Juz 4 PREVIEW-001.mov,6256da16-590f-4110-b4ef-79def79b57cd,true
originals/Tadaruz 1-20/Juz 4/SUBS/new-tadaruz-al-quran-juz-4_srt_english.vtt,a1225405-5c69-4cf9-acf6-f1acaa327643,true
originals/Tadaruz 1-20/Juz 4/SUBS/tadaruz-al-quran-juz-4-v2_srt_english.vtt,9d274064-3f20-4b77-a11f-073bb48c6be6,true
originals/Tadaruz 1-20/Juz 4/SUBS/tadaruz-al-quran-juz-4-preview_srt_english.vtt,da427c71-66a9-420e-a855-16b9e3b93c74,true
originals/Tadaruz 1-20/Juz 4/SUBS/tadaruz-al-quran-juz-4_srt_english.vtt,96c28c85-3746-42a1-bbeb-cd94e18cc414,true
originals/Tadaruz 1-20/Juz 4/MASTER/TADARUZ AL QURAN JUZ 4 V2.mov,2411be06-a9bf-4ed9-913f-eaf6e102fac0,true
originals/Tadaruz 1-20/Juz 4/MASTER/Tadaruz Al Quran Juz 4 [MASTER].mov,7992a640-5d79-4129-861a-ef6bcd4b7d9b,true
originals/Tadaruz 1-20/JUZ 5/SUBS/juz-5-subtitle-v2-_srt_english.vtt,0909ea0e-e782-4a54-bce4-4487e20ef64e,true
originals/Tadaruz 1-20/JUZ 5/MASTER/Juz 5 - Tadarus Al Quran [MASTER V2].mov,c7dd6cff-36ca-4e04-8f27-e29d8d40835a,true
originals/Tadaruz 1-20/JUZ 5/PREVIEW/Tadaruz Al Quran - Juz 5 [V2].mov,4d83986f-0aee-4f4e-8ab0-5675f9bb3b90,false
originals/Tadaruz 1-20/JUZ 5/tadaruz-al-quran-juz-5-subtitle-preview-_srt_english.vtt,7ff6d59a-c9a8-4447-b7e2-edf41f8088ad,true
originals/Tadaruz 1-20/JUZ 5/Tadaruz Al Quran - Juz 5 [Housemaster].mov,bd336f2b-9842-4579-82c7-b7e448ff0af2,true
originals/Tadaruz 1-20/JUZ 3/SUBS/JUZ 3 - TADARUZ AL-QURAN NEW.vtt,f769839b-6636-4435-8b98-725f2a5a6610,true
originals/Tadaruz 1-20/JUZ 3/SUBS/JUZ 3 - TADARUZ AL-QURAN NEW.srt,90038960-922e-44c3-9706-0da870b7886e,true
originals/Tadaruz 1-20/JUZ 3/MASTER/TADARUZ AL-QURAN - JUZ 3 (NEW).mov,93b70b48-19bd-4c3f-89ca-46cdcba89bb6,true
originals/Tadaruz 1-20/JUZ 3/MASTER/TADARUZ AL-QURAN - JUZ 3 (MASTER).mov,4d19c441-22a9-447f-b9ff-fe920691ea37,true
